year,Real_VAT,Real_Energytax,Real_Carbontax,Real_Gasoline_Price,Real_total_tax,CO2_OECD,CO2_Sweden,gas_cons,diesel_cons,GDP_Sweden,GDP_Synthetic_Sweden,gap_CO2_emissions_transp,gap_GDP
1960,0,4.128581383647798,0,7.451585911949683,4.128581383647798,1.189874260980194,1.020754995286356,207.2239525771124,56.782836779673,11377.2173793373,10995.10409119819,-.040262,382.1132881391077
1961,0,4.125492515337424,0,7.170498895705521,4.125492515337424,1.223591489781877,1.09308539709718,225.0000598404414,64.49469800390909,11959.0140214544,11475.6279387099,-.0209746,483.3860827444987
1962,0,3.955619294117646,0,7.440331529411765,3.955619294117646,1.244790415101169,1.125424976869938,231.1683736273386,65.4624399001903,12319.2083932465,11894.2117113824,-.0030180000000002,424.9966818641042
1963,0,3.842601599999999,0,6.953279085714284,3.842601599999999,1.292084624667521,1.196686939332443,250.2522247856747,78.90243556038089,12858.613807057,12270.96386158817,.0249919000000001,587.6499454688328
1964,0,3.715222541436463,0,6.634325966850827,3.715222541436463,1.330009579998449,1.310473318423871,271.8840560036777,87.4519047155372,13619.086435755,13007.44296689869,.0751062999999998,611.6434688563058
1965,0,3.960576210526315,0,6.572871157894736,3.960576210526315,1.382102311695467,1.358960404341794,287.1789779298882,93.7437005849478,14022.0856241675,13536.83334602209,.0436993999999999,485.2522781454136
1966,0,4.462528705418719,0,6.782917438423645,4.462528705418719,1.426288866307046,1.406286562009745,295.8581018435802,102.461680292149,14145.5281035937,13976.322446691,.0302046,169.2056569026972
1967,0,4.325203222748814,0,6.753387488151658,4.325203222748814,1.465117025347231,1.385370563112463,305.5441131855376,108.033484279412,14499.9719002572,14191.75793909527,-.0177394000000002,308.2139611619332
1968,0,4.244734325581395,0,6.553274046511627,4.244734325581395,1.533206056823321,1.481243126975017,318.4925494860959,113.115409440498,14933.0156392865,14665.76173177234,-.0307749000000002,267.2539075141613
1969,0,4.129492669683257,0,6.013120904977375,4.129492669683257,1.575265387172385,1.542405741313582,333.0793195643814,119.225830288682,15583.9784443108,15660.6493568036,-.0378662999999999,-76.67091249280202
1970,0,4.00271,0,5.630931016949152,4.00271,1.636680599637641,1.729496974996646,343.2883643397369,126.8214891802,16515.6933391306,15884.22087637208,.0575620000000001,631.4724627585256
1971,0,4.286366614173229,0,6.051341102362205,4.286366614173229,1.692871838429969,1.710228301277769,348.7136983977198,122.247365939711,16477.7054538888,16312.49957597901,-.0104757,165.2058779097897
1972,0,4.047349888475837,0,5.713905724907064,4.047349888475837,1.778660069496424,1.740886202184111,361.7202024057225,121.886657720104,16759.977733672,17120.7865032928,-.0718957999999998,-360.8087696208022
1973,0,3.960869825783971,0,5.801837491289199,3.960869825783971,1.890219302891096,1.8460452352368,381.9912510729677,137.162881659405,17314.41770277,18130.70735291535,-.0187667999999999,-816.2896501453506
1974,0,3.800041139240506,0,6.738739620253165,3.800041139240506,1.862955437984262,1.830892449774539,355.3941167567713,165.809737921349,17489.6985358347,17666.693735001,-.0071205999999999,-176.9951991663002
1975,0,3.598978443804034,0,6.321282651296829,3.598978443804034,1.907693948180399,1.881003174025018,396.4632257776288,142.692583415655,18246.9034590981,17222.26390992477,-.0359638,1024.639549173327
1976,0,3.478795078534031,0,6.496545026178008,3.478795078534031,1.984468158386133,2.005524984171069,416.5508229706435,165.404122405861,18338.2114503184,18123.39293704847,.020464,214.8185132699291
1977,0,3.15706704225352,0,5.975876901408449,3.15706704225352,2.025322897233299,2.075976120821083,431.3134275541293,174.270499809732,17626.9030196808,18341.54964839175,.0423971000000001,-714.6466287109506
1978,0,3.447963411513859,0,6.179023539445629,3.447963411513859,2.097092556421677,2.126734270232282,442.1432212943135,180.168227097519,17583.8260151215,18943.15403117497,.0494972999999996,-1359.328016053474
1979,0,3.508351394422311,0,6.825338167330678,3.508351394422311,2.147127162975773,2.087131909389296,438.4062173621884,174.590814835107,18196.376147071,19393.70707456158,.0074819000000002,-1197.330927490581
1980,0,4.09384,0,8.103559999999998,4.09384,2.120693869638338,2.00468538051299,423.077658936595,167.017005291238,18391.1765277451,19315.99936522645,-.0280496000000001,-924.8228374813516
1981,0,4.102194469223907,0,8.704656556645853,4.102194469223907,2.122300133835826,1.965025431755749,415.9604293153912,159.004810165924,18165.7402227552,18871.55817771588,-.0344236,-705.8179549606757
1982,0,3.916844700082168,0,8.893541495480688,3.916844700082168,2.038796168183325,1.975913553721967,418.725510533421,156.391455741398,18200.5605702285,18700.01592756858,-.0296564000000001,-499.4553573400772
1983,0,3.616018099547511,0,8.606546003016591,3.616018099547511,2.038594689617885,2.013439015069336,429.4616193740617,154.879924236103,18496.9494090694,18869.90172981112,-.0063650000000002,-372.9523207417224
1984,0,3.642067039106145,0,8.10653631284916,3.642067039106145,2.094958529038613,2.111171154204859,446.1048592322654,152.700049960386,19487.2640321903,19385.46070148988,.0158621999999999,101.8033307004225
1985,0,4.247932379713913,0,8.331781534460337,4.247932379713913,2.111736920172399,2.173552216628069,449.0810364934028,168.734714778455,19905.7309225723,19675.3873434071,-.0455277999999999,230.3435791652009
1986,0,3.830792264504054,0,7.014373050530254,3.830792264504054,2.166450443200829,2.309485653769032,470.1410267760548,187.936933956476,20911.2137958432,20834.96411497291,.0022827000000003,76.24968087028901
1987,0,3.861796407185628,0,6.74974850299401,3.861796407185628,2.223289898608602,2.339897430328214,487.5084010057867,185.167455682462,21713.9872764736,21253.95505317116,.0117764,460.0322233024417
1988,0,4.094125636672326,0,6.79180531975099,4.094125636672326,2.328277746844194,2.457183314053986,503.4084676694298,203.994813482244,22519.3898264318,21853.01836825146,.0408512999999999,666.3714581803397
1989,0,3.935438596491229,0,6.842296650717704,3.935438596491229,2.370900199912203,2.505603461877385,518.3113928188086,207.34810603224,23422.7783445838,22451.79899248794,.0279374999999997,970.9793520958629
1990,1.697512993262753,3.778248315688161,0,8.487564966313764,5.475761308950913,2.366209430376583,2.30989381148252,486.7484885501356,195.821043401351,23638.5104492682,22876.49550391986,-.0772491999999998,762.0149453483355
1991,1.592059859154929,2.948396126760563,.7170440140845069,7.960299295774647,5.2575,2.361037233362063,2.257067842585474,493.3056760324345,178.012445785404,23370.4891815676,22966.04382460138,-.1493712,404.4453569662146
1992,1.510588640275387,2.858294320137694,.7009999999999998,7.552943201376936,5.06988296041308,2.406843413803924,2.331546352837374,501.8419908383265,192.315080167239,23073.5567006508,23459.93585569526,-.1174125999999998,-386.3791550444621
1993,1.768641447368421,3.616053157894737,.8574336842105265,8.843207236842106,6.242128289473685,2.41289939454085,2.217108993101041,472.4403488144431,207.717764433833,22332.2525138765,23667.97826667487,-.2627839999999999,-1335.725752798371
1994,1.697068812877264,3.531618253521127,.8915930140845071,8.485344064386318,6.120280080482897,2.478699469519559,2.286821904063949,473.5361293375448,228.568304853404,23608.6502113316,24762.5723734426,-.2684170999999997,-1153.922162111005
1995,1.666113029827316,3.576354536891678,.8695481318681317,8.330565149136577,6.112015698587125,2.498937591369097,2.291847717538322,481.593902484202,220.234896831166,25110.1750304664,25570.31947564614,-.2900152999999999,-460.1444451797433
1996,1.724021875,3.6584751875,.9418373124999999,8.620109375000002,6.324334375,2.56336415831305,2.265581329166685,475.6250369019425,220.110896982445,25483.8087138614,26131.06027606374,-.3466627,-647.251562202342
1997,1.802493587252235,3.825253198600854,.9370787096774194,9.012467936261173,6.564825495530509,2.567081004405396,2.297067327812082,466.4222339838902,233.663295599782,26667.5013474236,27563.95273008996,-.3342746999999999,-896.4513826663606
1998,1.767501945525292,3.938823533073929,.9381725758754863,8.837509727626458,6.644498054474708,2.622207414494102,2.3296871056225,453.848356124422,255.904039487632,28188.3355548903,28588.15366258522,-.3318249,-399.8181076949259
1999,1.8251530414568,3.878580581170088,.9341741650523051,9.125765207283999,6.637907787679192,2.659567680442954,2.384319307319115,455.5269131170753,268.91328551298,30149.6559667357,29481.20344248748,-.2986266999999998,668.4525242482196
2000,2.056840301751695,3.882921549673954,.9248575067126965,10.28420150875847,6.864619358138345,2.682912850548121,2.397400663134324,448.2586947477764,293.842196934235,31800.4384348668,30644.98910208733,-.3101433,1155.44933277947
2001,1.998982902782977,3.431021010857356,1.293052369898914,9.994914513914882,6.723056283539247,2.676420552888555,2.385352452124335,443.1224960543888,293.504017554036,31454.3865330062,30782.37827527605,-.3320364999999996,672.0082577301473
2002,1.925694281524925,3.243800410557184,1.50490926686217,9.62847140762462,6.674403958944278,2.68253090929246,2.403372654526777,452.8872852959084,293.222668386787,31542.8681189297,31337.97953257053,-.3320023000000001,204.8885863591677
